DOClass	Disease	DiseaseClass	EvidenceIndexGDA	EvidenceLevelGDA	FirstRef	Gene	GeneDPI	GeneDSI	GeneFullName	GenePLI	HPOClass	LastRef	NumDiseasesAssociatedToGene	NumGenesDisease	NumPMIDs	NumVariantsAssociatedToGene	NumVariantsDisease	NumVariantsGDA	PathwayIDs	PathwayNames	ProteinClass	ScoreGDA	SemanticType	Type	UnitProt	diseaseUMLSCUI	geneEnsemblIDs	geneNcbiID	geneNcbiType	numCTs	numberChemsIncludedInEvidence	numberPmidsWithChemsIncludedInEvidence
	Depressive neurosis	Mental Disorders	0.8210526315789474		2014.0	COMT	0.96	0.38	catechol-O-methyltransferase	0.00049511	Abnormality of the nervous system (00707)	2014.0	80	271	5	21	6	0	R-HSA-112316,R-HSA-1430728,R-HSA-1643685	Neuronal System,Metabolism,Disease	Enzyme	0.9	Mental or Behavioral Dysfunction (T048)	disease	A0A140VJG8,P21964	C0011581	ENSG00000093010	1312	protein-coding	1	1	1
	Depressive neurosis	Mental Disorders	0.855072463768116		2013.0	FKBP5	0.96	0.49	FKBP prolyl isomerase 5	0.14038	Abnormality of the nervous system (00707)	2014.0	19	271	3	16	6	0	R-HSA-162582,R-HSA-74160,R-HSA-8953897	Signal Transduction,Gene expression (Transcription),Cellular responses to stimuli	Enzyme	0.9	Mental or Behavioral Dysfunction (T048)	disease	Q13451,Q2TA84	C0011581	ENSG00000096060	2289	protein-coding	2	3	1
	Depressive neurosis	Mental Disorders	1.0		1999.0	SOD1	1.0	0.33	superoxide dismutase 1	0.011954	Abnormality of the nervous system (00707)	2012.0	90	271	2	133	6	0	R-HSA-109582,R-HSA-168256,R-HSA-8953897	Hemostasis,Immune System,Cellular responses to stimuli	Enzyme	0.9	Mental or Behavioral Dysfunction (T048)	disease	V9HWC9,P00441	C0011581	ENSG00000142168	6647	protein-coding	1	0	0
	Depressive neurosis	Mental Disorders	1.0		2012.0	TGFB1	0.91	0.26	transforming growth factor beta 1	0.025965	Abnormality of the nervous system (00707)	2012.0	136	271	1	37	6	0	R-HSA-109582,R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160	Hemostasis,Developmental Biology,Extracellular matrix organization,Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription)	Signaling	0.9	Mental or Behavioral Dysfunction (T048)	disease	A0A499FJK2,P01137	C0011581	ENSG00000105329	7040	protein-coding	2	0	0
	Depressive neurosis	Mental Disorders	0.9142857142857144		2009.0	SLC6A3	0.96	0.43	solute carrier family 6 member 3	0.99999	Abnormality of the nervous system (00707)	2014.0	43	271	5	103	6	0	R-HSA-112316,R-HSA-1643685,R-HSA-382551	Neuronal System,Disease,Transport of small molecules	Transporter	0.85	Mental or Behavioral Dysfunction (T048)	disease	Q01959	C0011581	ENSG00000142319	6531	protein-coding	1	2	2
	Depressive neurosis	Mental Disorders	0.872093023255814		2013.0	MAOA	0.96	0.43	monoamine oxidase A		Abnormality of the nervous system (00707)	2015.0	40	271	5	33	6	0	R-HSA-112316,R-HSA-1430728,R-HSA-1643685,R-HSA-168256	Neuronal System,Metabolism,Disease,Immune System		0.85	Mental or Behavioral Dysfunction (T048)	disease	Q49A63,Q53YE7,P21397	C0011581	ENSG00000189221	4128	protein-coding	3	0	0
	Depressive neurosis	Mental Disorders	0.7714285714285715		2009.0	OXTR	0.83	0.49	oxytocin receptor	3.137e-07	Abnormality of the nervous system (00707)	2014.0	28	271	5	28	6	0	R-HSA-162582	Signal Transduction	G-protein coupled receptor	0.85	Mental or Behavioral Dysfunction (T048)	disease	P30559,B2R9L7	C0011581	ENSG00000180914	5021	protein-coding	1	0	0
	Depressive neurosis	Mental Disorders	0.9285714285714286		2011.0	NR3C2	0.91	0.43	nuclear receptor subfamily 3 group C member 2	1.0	Abnormality of the nervous system (00707)	2015.0	18	271	5	111	6	0	R-HSA-392499,R-HSA-74160,R-HSA-8953897	Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli	Nuclear receptor	0.85	Mental or Behavioral Dysfunction (T048)	disease	P08235,B0ZBF6	C0011581	ENSG00000151623	4306	protein-coding	2	1	1
	Depressive neurosis	Mental Disorders	0.9761904761904762		2003.0	POMC	0.96	0.32	proopiomelanocortin	3.3396e-10	Abnormality of the nervous system (00707)	2015.0	115	271	5	40	6	0	R-HSA-1266738,R-HSA-1430728,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160	Developmental Biology,Metabolism,Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription)		0.85	Mental or Behavioral Dysfunction (T048)	disease	P01189	C0011581	ENSG00000115138	5443	protein-coding	10	2	1
	Depressive neurosis	Mental Disorders	0.8571428571428571		2005.0	AGT	0.96	0.34	angiotensinogen	1.6654e-08	Abnormality of the nervous system (00707)	2014.0	108	271	5	74	6	0	R-HSA-1430728,R-HSA-162582,R-HSA-392499	Metabolism,Signal Transduction,Metabolism of proteins	Enzyme modulator	0.85	Mental or Behavioral Dysfunction (T048)	disease	B2R5S1,B0ZBE2,P01019	C0011581	ENSG00000135744	183	protein-coding	2	0	0
	Depressive neurosis	Mental Disorders	0.8928571428571429		2011.0	CREB1	0.96	0.41	cAMP responsive element binding protein 1	1.0	Abnormality of the nervous system (00707)	2013.0	16	271	5	6	6	0	R-HSA-112316,R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-1852241,R-HSA-400253,R-HSA-74160,R-HSA-8953897	Neuronal System,Developmental Biology,Signal Transduction,Disease,Immune System,Organelle biogenesis and maintenance,Circadian Clock,Gene expression (Transcription),Cellular responses to stimuli		0.85	Mental or Behavioral Dysfunction (T048)	disease	B7Z5C6,Q5U0J5,Q53X93,P16220	C0011581	ENSG00000118260	1385	protein-coding	1	0	0
	Depressive neurosis	Mental Disorders	1.0		2005.0	REN	0.96	0.38	renin	1.7791e-12	Abnormality of the nervous system (00707)	2012.0	42	271	5	39	6	0	R-HSA-392499	Metabolism of proteins	Enzyme	0.85	Mental or Behavioral Dysfunction (T048)	disease	P00797	C0011581	ENSG00000143839	5972	protein-coding	1	1	1
	Depressive neurosis	Mental Disorders	0.8888888888888888		2011.0	ABCB1	0.96	0.33	ATP binding cassette subfamily B member 1	1.7784e-05	Abnormality of the nervous system (00707)	2015.0	89	271	5	16	6	0	R-HSA-382551,R-HSA-9748784	Transport of small molecules,Drug ADME	Transporter	0.85	Mental or Behavioral Dysfunction (T048)	disease	P08183,A4D1D2	C0011581	ENSG00000085563	5243	protein-coding	2	1	1
	Depressive neurosis	Mental Disorders	0.8552631578947368		2012.0	OXT	0.96	0.41	oxytocin/neurophysin I prepropeptide	1.9937e-06	Abnormality of the nervous system (00707)	2014.0	37	271	5	1	6	0	R-HSA-162582	Signal Transduction	Signaling	0.85	Mental or Behavioral Dysfunction (T048)	disease	X5D7M6,P01178	C0011581	ENSG00000101405	5020	protein-coding	9	0	0
	Depressive neurosis	Mental Disorders	0.9148936170212766		2013.0	VEGFA	0.96	0.25	vascular endothelial growth factor A	0.1881	Abnormality of the nervous system (00707)	2015.0	109	271	5	6	6	0	R-HSA-109582,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-74160,R-HSA-8953897	Hemostasis,Signal Transduction,Disease,Immune System,Gene expression (Transcription),Cellular responses to stimuli	Signaling	0.85	Mental or Behavioral Dysfunction (T048)	disease	A2A2V4,P15692,A0A0Y0IMM4	C0011581	ENSG00000112715	7422	protein-coding	3	2	1
	Depressive neurosis	Mental Disorders	0.9		2012.0	LEP	0.96	0.31	leptin	0.0070036	Abnormality of the nervous system (00707)	2015.0	59	271	5	66	6	0	R-HSA-1266738,R-HSA-162582,R-HSA-392499	Developmental Biology,Signal Transduction,Metabolism of proteins		0.85	Mental or Behavioral Dysfunction (T048)	disease	P41159,A4D0Y8	C0011581	ENSG00000174697	3952	protein-coding	10	0	0
	Depressive neurosis	Mental Disorders	0.8		1996.0	S100B	0.96	0.39	S100 calcium binding protein B	0.05819	Abnormality of the nervous system (00707)	2010.0	30	271	5	0	6	0	R-HSA-162582,R-HSA-168256	Signal Transduction,Immune System	Calcium-binding protein	0.85	Mental or Behavioral Dysfunction (T048)	disease	A0A0S2Z4C5,P04271	C0011581	ENSG00000160307	6285	protein-coding	2	1	1
	Depressive neurosis	Mental Disorders	0.8666666666666667		2011.0	IGF1	0.96	0.28	insulin like growth factor 1	0.75878	Abnormality of the nervous system (00707)	2015.0	71	271	5	118	6	0	R-HSA-109582,R-HSA-162582,R-HSA-392499	Hemostasis,Signal Transduction,Metabolism of proteins		0.85	Mental or Behavioral Dysfunction (T048)	disease	Q5U743,Q59GC5,P05019,Q13429	C0011581	ENSG00000017427	3479	protein-coding	4	0	0
	Depressive neurosis	Mental Disorders	0.9444444444444444		2005.0	ARTN	0.87	0.51	artemin	0.06954	Abnormality of the nervous system (00707)	2013.0	7	271	5	0	6	0	R-HSA-1266738,R-HSA-162582	Developmental Biology,Signal Transduction	Signaling	0.85	Mental or Behavioral Dysfunction (T048)	disease	Q5T4W7	C0011581	ENSG00000117407	9048	protein-coding	2	1	1
	Depressive neurosis	Mental Disorders	0.9230769230769232		2009.0	HTR4	0.65	0.55	5-hydroxytryptamine receptor 4	0.083675	Abnormality of the nervous system (00707)	2014.0	13	271	4	14	6	0	R-HSA-162582	Signal Transduction	G-protein coupled receptor	0.85	Mental or Behavioral Dysfunction (T048)	disease	Q13639,A0A2D3FAF9	C0011581	ENSG00000164270	3360	protein-coding	2	2	2
	Depressive neurosis	Mental Disorders	0.84375		2001.0	APP	0.96	0.38	amyloid beta precursor protein	0.99999	Abnormality of the nervous system (00707)	2014.0	58	271	4	135	6	0	R-HSA-109582,R-HSA-1474244,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-5653656,R-HSA-9609507	Hemostasis,Extracellular matrix organization,Signal Transduction,Disease,Immune System,Metabolism of proteins,Vesicle-mediated transport,Protein localization	Enzyme modulator	0.85	Mental or Behavioral Dysfunction (T048)	disease	P05067,B4DJT9,A0A0A0MRG2,B4DGD0,A0A140VJC8,E9PG40	C0011581	ENSG00000142192	351	protein-coding	1	1	1
	Depressive neurosis	Mental Disorders	0.8928571428571429		2013.0	SLC6A2	0.96	0.51	solute carrier family 6 member 2	0.89793	Abnormality of the nervous system (00707)	2015.0	14	271	4	10	6	0	R-HSA-1643685,R-HSA-382551	Disease,Transport of small molecules	Transporter	0.85	Mental or Behavioral Dysfunction (T048)	disease	P23975	C0011581	ENSG00000103546	6530	protein-coding	2	0	0
	Depressive neurosis	Mental Disorders	0.8148148148148148		2001.0	CYP2C19	0.96	0.43	cytochrome P450 family 2 subfamily C member 19	4.4942e-22	Abnormality of the nervous system (00707)	2012.0	34	271	4	7	6	0	R-HSA-1430728,R-HSA-9748784	Metabolism,Drug ADME		0.85	Mental or Behavioral Dysfunction (T048)	disease	P33261	C0011581	ENSG00000165841	1557	protein-coding	5	1	1
	Depressive neurosis	Mental Disorders	0.8863636363636364		2010.0	OPRM1	0.96	0.45	opioid receptor mu 1	4.1408e-07	Abnormality of the nervous system (00707)	2015.0	43	271	4	16	6	0	R-HSA-162582,R-HSA-168256,R-HSA-74160	Signal Transduction,Immune System,Gene expression (Transcription)	G-protein coupled receptor	0.85	Mental or Behavioral Dysfunction (T048)	disease	G8XRH4,P35372,B8K2Q5,L0E130,G8XRH5	C0011581	ENSG00000112038	4988	protein-coding	1	0	0
	Depressive neurosis	Mental Disorders	1.0		2010.0	IL1A	0.96	0.32	interleukin 1 alpha	0.060574	Abnormality of the nervous system (00707)	2013.0	71	271	4	1	6	0	R-HSA-1643685,R-HSA-168256,R-HSA-5357801,R-HSA-8953897	Disease,Immune System,Programmed Cell Death,Cellular responses to stimuli		0.85	Mental or Behavioral Dysfunction (T048)	disease	P01583	C0011581	ENSG00000115008	3552	protein-coding	9	2	1
	Depressive neurosis	Mental Disorders	0.9325842696629212		2014.0	IL1B	0.96	0.27	interleukin 1 beta	0.48761	Abnormality of the nervous system (00707)	2015.0	162	271	4	4	6	0	R-HSA-1643685,R-HSA-168256,R-HSA-5357801	Disease,Immune System,Programmed Cell Death		0.85	Mental or Behavioral Dysfunction (T048)	disease	P01584	C0011581	ENSG00000125538	3553	protein-coding	36	0	0
	Depressive neurosis	Mental Disorders	1.0		2007.0	PNOC	0.78	0.57	prepronociceptin	0.0044476	Abnormality of the nervous system (00707)	2009.0	13	271	3	1	6	0	R-HSA-162582	Signal Transduction	Signaling	0.85	Mental or Behavioral Dysfunction (T048)	disease	Q13519	C0011581	ENSG00000168081	5368	protein-coding	2	0	0
	Depressive neurosis	Mental Disorders	0.9090909090909092		2001.0	IL18	0.96	0.34	interleukin 18	0.31817	Abnormality of the nervous system (00707)	2012.0	44	271	3	1	6	0	R-HSA-1643685,R-HSA-168256,R-HSA-5357801	Disease,Immune System,Programmed Cell Death		0.85	Mental or Behavioral Dysfunction (T048)	disease	Q14116	C0011581	ENSG00000150782	3606	protein-coding	4	0	0
	Depressive neurosis	Mental Disorders	0.8636363636363636		2009.0	MAOB	0.96	0.48	monoamine oxidase B		Abnormality of the nervous system (00707)	2012.0	20	271	3	1	6	0	R-HSA-1430728	Metabolism		0.85	Mental or Behavioral Dysfunction (T048)	disease	B7Z242,P27338	C0011581	ENSG00000069535	4129	protein-coding	2	0	0
	Depressive neurosis	Mental Disorders	0.9090909090909092		2012.0	NGF	0.96	0.36	nerve growth factor	0.76805	Abnormality of the nervous system (00707)	2012.0	55	271	1	87	6	0	R-HSA-162582	Signal Transduction	Signaling	0.85	Mental or Behavioral Dysfunction (T048)	disease	A0A346FYQ1,P01138	C0011581	ENSG00000134259	4803	protein-coding	4	0	0
	Depressive neurosis	Mental Disorders	1.0		2010.0	MT-CO2	0.91	0.34	cytochrome c oxidase subunit II		Abnormality of the nervous system (00707)	2013.0	29	271	5	319	6	0	R-HSA-1430728,R-HSA-392499,R-HSA-74160,R-HSA-8953897	Metabolism,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli	Enzyme	0.8	Mental or Behavioral Dysfunction (T048)	disease	P00403,U5Z487	C0011581		4513	protein-coding	0	2	1
	Depressive neurosis	Mental Disorders	0.875		2010.0	DRD2	0.96	0.4	dopamine receptor D2	0.99986	Abnormality of the nervous system (00707)	2014.0	55	271	5	30	6	0	R-HSA-162582	Signal Transduction	G-protein coupled receptor	0.8	Mental or Behavioral Dysfunction (T048)	disease	P14416	C0011581	ENSG00000149295	1813	protein-coding	0	1	1
	Depressive neurosis	Mental Disorders	0.9333333333333332		2011.0	AR	0.96	0.33	androgen receptor		Abnormality of the nervous system (00707)	2014.0	42	271	4	242	6	0	R-HSA-162582,R-HSA-392499,R-HSA-74160,R-HSA-8953897	Signal Transduction,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli		0.8	Mental or Behavioral Dysfunction (T048)	disease	P10275,Q9NUA2,G4VV16,A0A087WUX9,F1D8N5	C0011581	ENSG00000169083	367	protein-coding	0	2	1
	Depressive neurosis	Mental Disorders	0.9		2011.0	PER2	0.96	0.48	period circadian regulator 2	6.5305e-08	Abnormality of the nervous system (00707)	2013.0	12	271	4	6	6	0	R-HSA-400253	Circadian Clock	Transcription factor	0.8	Mental or Behavioral Dysfunction (T048)	disease	O15055	C0011581	ENSG00000132326	8864	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2006.0	GRIN2A	0.96	0.48	glutamate ionotropic receptor NMDA type subunit 2A	1.0	Abnormality of the nervous system (00707)	2013.0	38	271	4	640	6	0	R-HSA-112316,R-HSA-74160	Neuronal System,Gene expression (Transcription)	Ion channel	0.8	Mental or Behavioral Dysfunction (T048)	disease	Q59EW6,Q547U9,Q12879,A0A890YTL4	C0011581	ENSG00000183454	2903	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.8055555555555556		2011.0	CYP2D6	1.0	0.42	cytochrome P450 family 2 subfamily D member 6	7.7866e-23	Abnormality of the nervous system (00707)	2013.0	45	271	4	9	6	0	R-HSA-1430728,R-HSA-9748784	Metabolism,Drug ADME		0.8	Mental or Behavioral Dysfunction (T048)	disease	Q5Y7H2,P10635,C1ID52	C0011581	ENSG00000100197	1565	protein-coding	5	1	1
	Depressive neurosis	Mental Disorders	1.0		2004.0	RELN	0.96	0.45	reelin	1.0	Abnormality of the nervous system (00707)	2013.0	35	271	4	986	6	0	R-HSA-1266738	Developmental Biology		0.8	Mental or Behavioral Dysfunction (T048)	disease	P78509	C0011581	ENSG00000189056	5649	protein-coding	2	1	1
	Depressive neurosis	Mental Disorders	0.9629629629629628		2008.0	CXCL8	0.96	0.29	C-X-C motif chemokine ligand 8	0.003713	Abnormality of the nervous system (00707)	2015.0	24	271	4	1	6	0	R-HSA-162582,R-HSA-168256,R-HSA-8953897	Signal Transduction,Immune System,Cellular responses to stimuli	Signaling	0.8	Mental or Behavioral Dysfunction (T048)	disease	P10145	C0011581	ENSG00000169429	3576	protein-coding	6	2	1
	Depressive neurosis	Mental Disorders	1.0		1985.0	HP	0.96	0.36	haptoglobin		Abnormality of the nervous system (00707)	1994.0	53	271	2	3	6	0	R-HSA-168256,R-HSA-5653656	Immune System,Vesicle-mediated transport		0.8	Mental or Behavioral Dysfunction (T048)	disease	P00738,A0A0C4DGL8,Q6PEJ8	C0011581	ENSG00000257017	3240	protein-coding	3	0	0
	Depressive neurosis	Mental Disorders	0.8421052631578947		2014.0	CRHR1	0.96	0.51	corticotropin releasing hormone receptor 1	0.0041282	Abnormality of the nervous system (00707)	2015.0	24	271	5	13	6	0	R-HSA-162582	Signal Transduction	G-protein coupled receptor	0.75	Mental or Behavioral Dysfunction (T048)	disease	B3TIK8,K9J956,P34998,G3CIS4,B3SXS2	C0011581	ENSG00000120088	1394	protein-coding	0	1	1
	Depressive neurosis	Mental Disorders	0.9655172413793104		2012.0	CNR1	0.96	0.43	cannabinoid receptor 1	0.31479	Abnormality of the nervous system (00707)	2014.0	47	271	5	0	6	0	R-HSA-162582	Signal Transduction	G-protein coupled receptor	0.75	Mental or Behavioral Dysfunction (T048)	disease	S5TLS4,V5KA96,P21554	C0011581	ENSG00000118432	1268	protein-coding	0	2	2
	Depressive neurosis	Mental Disorders	1.0		2012.0	HTR1B	0.78	0.52	5-hydroxytryptamine receptor 1B	0.12734	Abnormality of the nervous system (00707)	2013.0	16	271	5	2	6	0	R-HSA-162582	Signal Transduction	G-protein coupled receptor	0.75	Mental or Behavioral Dysfunction (T048)	disease	A8K215,P28222,X5D7I5	C0011581	ENSG00000135312	3351	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.95		2008.0	HTR7	0.83	0.55	5-hydroxytryptamine receptor 7	0.011218	Abnormality of the nervous system (00707)	2013.0	13	271	5	2	6	0	R-HSA-162582	Signal Transduction	G-protein coupled receptor	0.75	Mental or Behavioral Dysfunction (T048)	disease	P34969	C0011581	ENSG00000148680	3363	protein-coding	0	4	2
	Depressive neurosis	Mental Disorders	0.9230769230769232		2008.0	CNR2	0.91	0.45	cannabinoid receptor 2	0.052862	Abnormality of the nervous system (00707)	2014.0	32	271	5	1	6	0	R-HSA-162582	Signal Transduction	G-protein coupled receptor	0.75	Mental or Behavioral Dysfunction (T048)	disease	P34972	C0011581	ENSG00000188822	1269	protein-coding	0	3	2
	Depressive neurosis	Mental Disorders	0.8235294117647058		2007.0	DRD3	0.91	0.48	dopamine receptor D3	0.65555	Abnormality of the nervous system (00707)	2013.0	29	271	5	13	6	0	R-HSA-162582	Signal Transduction	G-protein coupled receptor	0.75	Mental or Behavioral Dysfunction (T048)	disease	A1A4V4,A8K8E4,E9PCM4,P35462,X5D2G4	C0011581	ENSG00000151577	1814	protein-coding	0	1	1
	Depressive neurosis	Mental Disorders	1.0		2005.0	TAC1	1.0	0.39	tachykinin precursor 1	0.30489	Abnormality of the nervous system (00707)	2014.0	37	271	5	0	6	0	R-HSA-162582	Signal Transduction		0.75	Mental or Behavioral Dysfunction (T048)	disease	Q9Y494,P20366	C0011581	ENSG00000006128	6863	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2009.0	DBH	0.96	0.49	dopamine beta-hydroxylase	9.2071e-13	Abnormality of the nervous system (00707)	2013.0	22	271	5	162	6	0	R-HSA-1430728	Metabolism		0.75	Mental or Behavioral Dysfunction (T048)	disease	P09172	C0011581	ENSG00000123454	1621	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.9642857142857144		2012.0	CLOCK	0.96	0.43	clock circadian regulator	0.9672	Abnormality of the nervous system (00707)	2014.0	14	271	5	9	6	0	R-HSA-1430728,R-HSA-400253,R-HSA-4839726,R-HSA-8953897	Metabolism,Circadian Clock,Chromatin organization,Cellular responses to stimuli		0.75	Mental or Behavioral Dysfunction (T048)	disease	Q53EU0,O15516,Q3ZCT4	C0011581	ENSG00000134852	9575	protein-coding	0	1	1
	Depressive neurosis	Mental Disorders	0.8333333333333334		1985.0	TTR	0.91	0.38	transthyretin	0.012905	Abnormality of the nervous system (00707)	2009.0	32	271	5	162	6	0	R-HSA-1430728,R-HSA-1474244,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-9709957	Metabolism,Extracellular matrix organization,Disease,Immune System,Metabolism of proteins,Sensory Perception	Transporter	0.75	Mental or Behavioral Dysfunction (T048)	disease	E9KL36,P02766	C0011581	ENSG00000118271	7276	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.7142857142857143		1983.0	TRH	0.87	0.46	thyrotropin releasing hormone	0.0013787	Abnormality of the nervous system (00707)	2014.0	30	271	5	1	6	0	R-HSA-162582	Signal Transduction		0.75	Mental or Behavioral Dysfunction (T048)	disease	P20396	C0011581	ENSG00000170893	7200	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2009.0	TPH1	0.91	0.52	tryptophan hydroxylase 1	1.6579e-08	Abnormality of the nervous system (00707)	2014.0	18	271	5	5	6	0	R-HSA-1430728,R-HSA-162582	Metabolism,Signal Transduction		0.75	Mental or Behavioral Dysfunction (T048)	disease	P17752	C0011581	ENSG00000129167	7166	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.8888888888888888		2012.0	NPY	0.96	0.41	neuropeptide Y	0.0015886	Abnormality of the nervous system (00707)	2015.0	40	271	5	0	6	0	R-HSA-162582,R-HSA-74160	Signal Transduction,Gene expression (Transcription)	Signaling	0.75	Mental or Behavioral Dysfunction (T048)	disease	A4D158,P01303	C0011581	ENSG00000122585	4852	protein-coding	0	0	0
